Solar System Name,Security Rating,Region,Constellation,Coordinate x,Coordinate z,Coordinate y,Gate 1,Gate 2,Gate 3,Gate 4,Gate 5,Gate 6,Gate 7,Gate 8,Pronunciation 1,Pronunciation 1 Syllable Count,Pronunciation 2,Pronunciation 2 Syllable Count,Pronunciation 3,Pronunciation 3 Syllable Count
Edilkam,0.072,Aridia,Ombil,-35.8086630559827,4.6937378904584,-4.6236031134916,Fihrneh,Yiratal,,,,,,,3,e-di-lka,,,,
Efu,0.092,Aridia,Fabai,-39.4079296728533,-0.7899092297369,-10.6810697861262,Defsunun,Tisot,,,,,,,2,e-fu,,,,
Ertoo,0.137,Aridia,Ombil,-36.4430188479272,2.9614445412934,-3.0727737035593,Balas,Khnar,,,,,,,2,e-rtu,,,,
Esaeel,0.101,Aridia,Selonat,-41.4566387144002,1.6391482712372,-7.4446838919396,Fobiner,,,,,,,,2,e-sa,,,,
Esubara,0.242,Aridia,Leseasesh,-39.0465151659696,0.7461864755497,-8.5129012965696,Ghekon,Yahyerer,,,,,,,4,e-su-ba-ra,,,,
Fageras,0.135,Aridia,Helab,-37.0482474841617,3.8048437340361,-6.9599137609508,Soliara,,,,,,,,3,fa-ge-ra,,,,
Feshur,0.036,Aridia,Ombil,-34.9921845564449,5.6602203786065,-3.675854881449,Pemsah,Yiratal,,,,,,,2,fe-shu,,,,
Fihrneh,0.105,Aridia,Ombil,-35.9119441020067,4.1014849527634,-4.496598502201,Edilkam,Gesh,Hakatiz,Kamih,Parouz,,,,2,fi-hrne,,,,
Fobiner,0.175,Aridia,Selonat,-40.871082238253,1.9636190605154,-7.4920331767784,Bapraya,Esaeel,Huna,Karan,Nouta,,,,3,fo-bi-ne,,,,
Gens,0.171,Aridia,Afinoo,-35.2783769617325,3.5635483315931,-4.8572387026986,Kamih,Kenahehab,Yehaba,,,,,,1,ge,,,,
Gesh,0.111,Aridia,Ombil,-34.991578353793,4.3195409498778,-5.0230031335453,Fihrneh,Hoseen,,,,,,,1,ge,,,,
Getrenjesa,0.318,Aridia,Leseasesh,-37.9335476441844,-0.5018002011917,-7.6950978323811,Jerhesh,Nalnifan,Zazamye,,,,,,4,ge-tre-nje-sa,,,,
Ghekon,0.386,Aridia,Maal,-39.8590356915596,0.9112478911009,-8.7557229898388,Esubara,Pserz,Soza,Vaini,Zaveral,,,,2,ghe-ko,,,,
Haimeh,0.499,Aridia,Mayonhen,-36.5229375489021,1.8089599423636,-4.8411180519151,Avada,Bazadod,Chibi,Jasson,,,,,2,ha-ime,,,,
Hakatiz,0.113,Aridia,Ombil,-36.3655426141158,3.8790635154156,-4.3014486906852,Fihrneh,Khnar,,,,,,,3,ha-ka-ti,,,,
Hier,0.361,Aridia,Afinoo,-36.2163961558866,2.5361355811152,-6.2238137643265,Kamih,Nema,Sadana,,,,,,1,hi,,,,
Hophib,0.029,Aridia,Selonat,-41.9073239225922,2.0551498372514,-6.930999217313,D4KU-5,Karan,,,,,,,2,ho-phi,,,,
Hoseen,0.076,Aridia,Ombil,-35.1447445834519,4.7966542991855,-4.7056501449336,Balas,Gesh,,,,,,,2,ho-se,,,,
Huna,0.113,Aridia,Selonat,-41.0610620384533,2.1502430288843,-7.2913101997417,Fobiner,Karan,,,,,,,2,hu-na,,,,
Illi,0.161,Aridia,Maal,-40.9863019454872,0.2366295984705,-9.2111276036217,Anohel,Soza,,,,,,,2,i-lli,,,,
Isid,0.274,Aridia,Mareerieh,-35.2223561831617,3.0193277701949,-5.9235966688538,Marmeha,Sadana,,,,,,,2,i-si,,,,
Jasson,0.251,Aridia,Afinoo,-36.0652192125762,2.8948359887521,-4.5076786218226,Haimeh,Kamih,Kenahehab,,,,,,2,ja-sso,,,,
Jerhesh,0.344,Aridia,Leseasesh,-37.3143998882061,-0.7555319018562,-8.1062812848698,Getrenjesa,Nalnifan,,,,,,,2,je-rhe,,,,
Kamih,0.245,Aridia,Afinoo,-35.6274231681509,3.0671868114972,-4.9648382070772,Fihrneh,Gens,Hier,Jasson,,,,,2,ka-mi,,,,
Karan,0.045,Aridia,Selonat,-41.5148577136343,2.4070192036482,-7.001320199586,Fobiner,Hophib,Huna,,,,,,2,ka-ra,,,,
Keba,0.472,Aridia,Maal,-40.2553245088754,2.0396434040285,-8.3181071877095,Bapraya,Pserz,Zaveral,,,,,,2,ke-ba,,,,
Kenahehab,0.229,Aridia,Afinoo,-34.2573639124174,2.8289632653546,-4.6808947844101,Gens,Jasson,Yehaba,,,,,,4,ke-na-he-ha,,,,
Khnar,0.092,Aridia,Ombil,-36.2346322626104,3.9785279766329,-3.8244150006745,Ertoo,Hakatiz,,,,,,,1,khna,,,,
Maalna,0.324,Aridia,Anama,-31.56864903418,0.1015937068328,-4.3876490197435,Maseera,Shakasi,,,,,,,2,ma-alna,,,,
Marmeha,0.28,Aridia,Mareerieh,-35.0870287915807,3.0038676188371,-6.32089226806,Isid,,,,,,,,3,ma-rme-ha,,,,
Maseera,0.337,Aridia,Anama,-32.2225651624906,0.1402376563353,-4.5522179659387,Maalna,Shakasi,Zayi,,,,,,3,ma-se-era,,,,
Mishi,0.715,Aridia,Mayonhen,-36.4465206985577,-0.3276113504517,-5.1690667129647,Avada,Pahineh,,,,,,,2,mi-shi,,,,
Naga,0.034,Aridia,Fabai,-40.6728392480592,-0.1497569129649,-12.1197336759948,Anath,Omigiav,Sakht,Tisot,,,,,2,na-ga,,,,
Nalnifan,0.286,Aridia,Leseasesh,-37.9033140212704,-0.9396436971637,-7.9023625014626,Getrenjesa,Jerhesh,Sazilid,Shafrak,,,,,3,na-lni-fa,,,,
Ned,0.177,Aridia,Selonat,-41.7132713822207,2.5409588847658,-8.7744027134434,Nouta,,,,,,,,1,ned,,,,
Nema,0.307,Aridia,Tid,-36.7954933365598,2.6423856132253,-6.5426476825452,Afrah,Hier,Shenda,Sota,,,,,2,ne-ma,,,,
Nielez,0.113,Aridia,Helab,-37.4134375153577,3.7945862556873,-7.8513679080289,Soliara,Tukanas,,,,,,,2,ni-ele,,,,
Nouta,0.266,Aridia,Selonat,-41.3755546918585,2.3350620426183,-8.4783175807802,Fobiner,Ned,,,,,,,2,no-uta,,,,
Omigiav,0.158,Aridia,Fabai,-38.2629452326925,-1.0268796837814,-10.8043077011664,Naga,Tisot,,,,,,,3,o-mi-gi,,,,
Onanam,0.389,Aridia,Mareerieh,-35.8359068637525,1.9257454570738,-7.5440621403127,Sadana,Udianoor,,,,,,,3,o-na-na,,,,
Pahineh,0.752,Aridia,Mayonhen,-36.5184145707266,0.2437972087601,-5.3934029029214,Avada,Mishi,,,,,,,3,pa-hi-ne,,,,
Parouz,0.123,Aridia,Ombil,-35.4457389279362,3.826552357736,-4.2343562526492,Fihrneh,,,,,,,,2,pa-ro,,,,
Pemsah,0.048,Aridia,Ombil,-35.3970808633502,5.0139728247271,-3.6276448476513,Feshur,Yekh,Yiratal,,,,,,2,pe-msa,,,,
Pserz,0.383,Aridia,Maal,-40.350766118231,1.079857222018,-9.7413151162742,Bapraya,Ghekon,Keba,Vaini,,,,,1,pse,,,,
Rashagh,0.401,Aridia,Tid,-37.4781599509922,0.918825332646,-7.3863390910191,Sazilid,Shenda,Sota,,,,,,2,ra-sha,,,,
Sadana,0.365,Aridia,Mareerieh,-35.7528953520358,2.4325705385683,-6.6929859472364,Hier,Isid,Onanam,,,,,,3,sa-da-na,,,,
Sakht,0.041,Aridia,Fabai,-40.3366115798019,-0.3864645298802,-12.1554878631926,1-SMEB,Anath,Naga,Tisot,,,,,1,sa,,,,
Sazilid,0.532,Aridia,Tid,-36.9133909296429,0.6356926469143,-7.0645352210886,Nalnifan,Rashagh,Shenda,,,,,,3,sa-zi-li,,,,
Shafrak,0.163,Aridia,Leseasesh,-38.9451233538156,-0.800853248029,-8.1893060388645,Defsunun,Nalnifan,Zazamye,,,,,,2,sha-fra,,,,
Shakasi,0.318,Aridia,Anama,-31.82079697913,-0.251955260957,-4.0919390853556,Maalna,Maseera,Van,,,,,,3,sha-ka-si,,,,
Shenda,0.455,Aridia,Tid,-36.9567550206303,1.6502442080421,-6.7514778847427,Nema,Rashagh,Sazilid,,,,,,2,she-nda,,,,
Sheri,0.057,Aridia,Helab,-38.5331939187765,4.2339266823899,-7.7176325342123,Ajna,Tukanas,,,,,,,2,she-ri,,,,
Shirshocin,0.264,Aridia,Anama,-32.9278466681089,1.7018359145023,-3.5748960184331,Agaullores,Yehaba,Zayi,,,,,,3,shi-rsho-ci,,,,
Soliara,0.163,Aridia,Helab,-37.1944865240952,3.1927198741221,-7.9664110516502,Afrah,Ahraghen,Ajna,Fageras,Nielez,Tukanas,,,3,so-li-ara,,,,
Sota,0.315,Aridia,Tid,-37.7262204420261,0.6062503382925,-7.9750303120814,Nema,Rashagh,,,,,,,2,so-ta,,,,
Soza,0.275,Aridia,Maal,-39.6754092487335,0.8806947058603,-8.1246181802839,Ghekon,Illi,,,,,,,2,so-za,,,,
Tisot,0.09,Aridia,Fabai,-39.2287084988599,-0.6889831046153,-11.4454170620033,Efu,Naga,Omigiav,Sakht,,,,,2,ti-so,,,,
Tukanas,0.114,Aridia,Helab,-37.9468017066048,3.3655733450559,-8.3381567528253,Ahraghen,Nielez,Sheri,Soliara,,,,,3,tu-ka-na,,,,
Udianoor,0.376,Aridia,Mareerieh,-35.9319281910808,1.6734240388201,-8.0916823941195,Onanam,Vehan,,,,,,,3,u-di-anu,,,,
Vaini,0.228,Aridia,Maal,-40.3947187553147,0.3474578021738,-9.3701888600599,Anohel,Ghekon,Pserz,,,,,,2,va-ini,,,,
Van,0.312,Aridia,Anama,-31.5647116595987,0.4906211358285,-3.6119505251291,Otakod,Shakasi,Zayi,,,,,,1,va,,,,
Vehan,0.367,Aridia,Mareerieh,-35.5776704072951,2.0056726873243,-7.9611538618895,Udianoor,Zinkon,,,,,,,2,ve-ha,,,,
Yahyerer,0.229,Aridia,Leseasesh,-38.9337026127875,0.8196972867666,-8.0644297580719,Esubara,Zazamye,,,,,,,3,y-ahy-ere,,,,
Yehaba,0.242,Aridia,Afinoo,-33.1143599304815,2.1499083220305,-4.0063203135807,Gens,Kenahehab,Shirshocin,,,,,,3,y-eha-ba,,,,
Yekh,0.044,Aridia,Ombil,-35.9721082466629,5.0734362314444,-3.8703230828018,Pemsah,,,,,,,,1,yek,,,,
Yiratal,0.038,Aridia,Ombil,-35.4455005667487,5.4980328378418,-3.9475171822195,Balas,Edilkam,Feshur,Pemsah,,,,,3,y-ira-ta,,,,
Zaveral,0.617,Aridia,Maal,-40.317345517101,1.8277073499264,-9.0462132543306,Ghekon,Keba,,,,,,,3,za-ve-ra,,,,
Zayi,0.322,Aridia,Anama,-32.0894801321906,0.7531513132478,-3.1498629681828,Maseera,Shirshocin,Van,,,,,,1,za,,,,
Zazamye,0.215,Aridia,Leseasesh,-38.6723027202911,-0.238275104659,-7.9289736220246,Getrenjesa,Shafrak,Yahyerer,,,,,,2,za-za-my,,,,
Ahtila,0.64,Black Rise,Aokinen,-21.2463076439387,9.5877305903583,14.1414297777678,Ichoriya,Onnamon,Samanuni,,,,,,3,a-hti-la,,,,
Aivonen,0.377,Black Rise,Ishaga,-23.1828900189083,10.5851081591982,13.9154986872258,Akidagi,Pavanakka,,,,,,,3,a-ivo-ne,,,,
Akidagi,0.445,Black Rise,Ishaga,-21.9794204992826,10.9083447304347,13.6246854436173,Aivonen,Enaluri,Ichoriya,Nennamaila,,,,,4,a-ki-da-gi,,,,
Asakai,0.256,Black Rise,Kurala,-18.8660458316935,7.9450005627612,13.9563668286923,Elunala,Ikoskio,Mushikegi,Okkamon,Prism,Vaaralen,,,3,a-sa-ka,,,,
Ashitsu,0.265,Black Rise,Urpiken,-25.9705412288772,7.373920888787,18.1881482937507,Hykanima,Ienakkamon,Kehjari,,,,,,3,a-shi-tsu,,,,
Astoh,0.612,Black Rise,Aokinen,-21.6593819055632,9.9302297406192,14.5247858941779,Tsuruma,Uuhulanen,,,,,,,2,a-sto,,,,
Eha,0.397,Black Rise,Inolari,-24.4109162501361,9.6996805256323,14.7826888051715,Innia,Martoh,Oicx,,,,,,2,e-ha,,,,
Elunala,0.253,Black Rise,Kurala,-19.3137661095814,7.0345721799536,13.3298392020332,Asakai,Prism,,,,,,,4,e-lu-na-la,,,,
Enaluri,0.328,Black Rise,Ishaga,-22.7875173313945,10.4688385699532,12.027941769265,Akidagi,Hallanen,Nennamaila,,,,,,4,e-na-lu-ri,,,,
Hallanen,0.364,Black Rise,Ishaga,-22.490145000697,10.0392014649462,10.7512047467657,Enaluri,Hikkoken,,,,,,,3,ha-lla-ne,,,,
Hikkoken,0.343,Black Rise,Ishaga,-21.9233617111672,11.4388155977114,10.2174204685351,Hallanen,Immuri,Nennamaila,Pynekastoh,,,,,3,hi-kko-ke,,,,
Hirri,0.336,Black Rise,Okakuola,-20.2223235927482,5.7726906083825,11.328267290246,Kedama,Nisuwa,Pynekastoh,,,,,,2,hi-rri,,,,
Hykanima,0.247,Black Rise,Urpiken,-26.4646966469157,6.9069967691529,18.3304799133658,Ashitsu,Sarenemi,Villasen,,,,,,4,hy-ka-ni-ma,,,,
Ichoriya,0.571,Black Rise,Aokinen,-21.9761023509134,9.7958851510767,14.1316657360649,Ahtila,Akidagi,Uchomida,,,,,,3,i-cho-ri,,,,
Ienakkamon,0.108,Black Rise,Urpiken,-27.0563985000452,7.7281156102444,17.996398457486,Ashitsu,Okagaiken,,,,,,,4,i-ena-kka-mo,,,,
Ikoskio,0.283,Black Rise,Kurala,-19.6796647033123,8.2702296915406,14.0025498416382,Asakai,Prism,Samanuni,,,,,,3,i-ko-ski,,,,
Immuri,0.421,Black Rise,Ishaga,-24.5408509517327,11.2907197915442,11.4968092428957,Hikkoken,Nennamaila,,,,,,,3,i-mmu-ri,,,,
Innia,0.317,Black Rise,Inolari,-23.3501967435827,10.0422166430168,16.7480527182523,Eha,Kinakka,Martoh,Pavanakka,,,,,2,i-nni,,,,
Iralaja,0.32,Black Rise,Inolari,-23.7970830031733,9.9446642681891,18.0243968965208,Martoh,Raihbaka,,,,,,,4,i-ra-la-ja,,,,
Iwisoda,0.238,Black Rise,Okakuola,-20.9509877066162,6.3188309547041,12.3877322846779,Rakapas,,,,,,,,4,i-wi-so-da,,,,
Kedama,0.338,Black Rise,Okakuola,-19.0903389142866,5.5947320176539,12.010754485757,Hirri,Nisuwa,Reitsato,Tama,Teimo,,,,3,ke-da-ma,,,,
Kehjari,0.248,Black Rise,Urpiken,-25.2401794572132,6.7450456582398,18.8833610264678,Ashitsu,Martoh,Villasen,,,,,,3,ke-hja-ri,,,,
Kinakka,0.416,Black Rise,Inolari,-22.1709861275103,10.2378691775532,15.8589127205816,Innia,Martoh,Onnamon,Raihbaka,,,,,3,ki-na-kka,,,,
Korasen,0.129,Black Rise,Urpiken,-26.1705230545174,7.225074180665,20.6718293527441,Villasen,,,,,,,,3,ko-ra-se,,,,
Martoh,0.383,Black Rise,Inolari,-23.7219834161825,10.2437151345475,17.7040572030507,Eha,Innia,Iralaja,Kehjari,Kinakka,,,,2,ma-rto,,,,
Mushikegi,0.434,Black Rise,Kurala,-18.6438241954304,7.7818660939008,13.7983379174984,Asakai,Manjonakko,Okkamon,Vaaralen,,,,,4,mu-shi-ke-gi,,,,
Nennamaila,0.274,Black Rise,Ishaga,-23.6006269803914,10.4368904074365,11.836995845749,Akidagi,Aldranette,Enaluri,Hikkoken,Immuri,,,,4,ne-nna-ma-ila,,,,
Nisuwa,0.309,Black Rise,Okakuola,-19.4501422632531,6.1801900623357,11.6819850810406,Hirri,Kedama,Notoras,Oinasiken,,,,,3,ni-su-wa,,,,
Notoras,0.189,Black Rise,Okakuola,-19.748562988177,5.71109920476,11.4149946724494,Nisuwa,,,,,,,,3,no-to-ra,,,,
Oinasiken,0.234,Black Rise,Okakuola,-20.2200044110477,5.9694082917284,10.1346433621824,Abune,Nisuwa,Pynekastoh,,,,,,4,o-ina-si-ke,,,,
Okagaiken,0.14,Black Rise,Urpiken,-26.2404761144249,7.5600944615224,18.7321191738703,Ienakkamon,Villasen,W-4NUU,,,,,,4,o-ka-ga-ike,,,,
Okkamon,0.285,Black Rise,Kurala,-18.7917630746779,7.866806848087,13.4134776134205,Asakai,Mushikegi,Reitsato,,,,,,3,o-kka-mo,,,,
Onnamon,0.556,Black Rise,Aokinen,-20.4162057852799,10.4012153019243,15.5827214016401,Ahtila,Kinakka,Piak,Rohamaa,Tsuruma,Uuhulanen,,,3,o-nna-mo,,,,
Pavanakka,0.396,Black Rise,Inolari,-22.9819939313373,9.961956218705,14.9872074282185,Aivonen,Innia,,,,,,,4,pa-va-na-kka,,,,
Prism,0.235,Black Rise,Kurala,-19.7647012375701,7.9759625933684,14.1758850217725,Asakai,Elunala,Ikoskio,,,,,,2,pri-sm,,,,
Pynekastoh,0.24,Black Rise,Okakuola,-21.8294709389294,5.7890482798288,10.8746979052662,Hikkoken,Hirri,Oinasiken,Rakapas,,,,,4,py-ne-ka-sto,,,,
Raihbaka,0.38,Black Rise,Inolari,-21.8607533843368,10.0688263503121,17.2302444591172,Iralaja,Kinakka,Ohbochi,,,,,,3,ra-ihba-ka,,,,
Rakapas,0.223,Black Rise,Okakuola,-22.2890333299574,6.3435216421686,12.7063662874603,Iwisoda,Pynekastoh,Reitsato,,,,,,3,ra-ka-pa,,,,
Reitsato,0.19,Black Rise,Okakuola,-19.7894305085121,6.5621164096811,12.5071865404206,Kedama,Okkamon,Rakapas,,,,,,3,re-itsa-to,,,,
Rohamaa,0.505,Black Rise,Aokinen,-22.4134533372826,10.2889893930095,14.8401922231754,Onnamon,Uchomida,,,,,,,3,ro-ha-ma,,,,
Samanuni,0.653,Black Rise,Aokinen,-20.0071018702881,10.6972634620021,14.435919667926,Ahtila,Ikoskio,Uchomida,Uuhulanen,,,,,4,sa-ma-nu-ni,,,,
Sarenemi,0.217,Black Rise,Urpiken,-24.9109963126604,7.1608785530365,18.3914651835536,Hykanima,Karjataimon,,,,,,,4,sa-re-ne-mi,,,,
Teimo,0.273,Black Rise,Okakuola,-18.8752285623369,5.7971513827533,11.4479168443391,Kedama,,,,,,,,2,te-imo,,,,
Teskanen,0.287,Black Rise,Kurala,-18.4956345239807,7.5082820878597,14.4772262911198,Vaaralen,,,,,,,,3,te-ska-ne,,,,
Tsuruma,0.543,Black Rise,Aokinen,-21.1687430217625,10.40273358248,15.4754794158475,Astoh,Onnamon,,,,,,,3,tsu-ru-ma,,,,
Uchomida,0.495,Black Rise,Aokinen,-20.7605576074268,10.3015291852561,14.6065465613262,Ichoriya,Rohamaa,Samanuni,,,,,,4,u-cho-mi-da,,,,
Uuhulanen,0.492,Black Rise,Aokinen,-19.8964016151209,10.4568730360865,15.1393282004196,Astoh,Onnamon,Samanuni,,,,,,4,u-uhu-la-ne,,,,
Vaaralen,0.313,Black Rise,Kurala,-17.3825671912736,7.6737696294213,14.6862419508235,Asakai,Mushikegi,Teskanen,,,,,,3,va-ara-le,,,,
Villasen,0.141,Black Rise,Urpiken,-26.1819390569583,7.3200572151771,19.9060369967486,Hykanima,Kehjari,Korasen,Okagaiken,,,,,3,vi-lla-se,,,,
Abha,0.434,Derelik,Mal,-7.7433814344717,8.3078598142142,-7.2003290355774,Amphar,Uhtafal,,,,,,,2,ab-ha,,,,
Agha,0.719,Derelik,Mekashtad,-8.5529128805123,6.8585914092815,-6.4690720392613,Nikh,,,,,,,,2,a-gha,,,,
Akeva,0.665,Derelik,Oraron,-9.4709472495039,6.2114404413655,-7.380140962883,Gelhan,,,,,,,,3,a-ke-va,,,,
Akhrad,0.358,Derelik,Mekashtad,-5.546781009212,7.5041947502068,-6.5667847016388,Iosantin,Janus,Sharir,Uanzin,,,,,2,ak-rad,,,,
Akpivem,0.846,Derelik,San Matar,-9.1174141133075,4.3938227486247,-5.648282438334,Asghatil,Maspah,Tanoo,Yuzier,,,,,3,ak-pi-ven,,,,
Alkez,0.782,Derelik,Hevaka,-8.0605644803164,3.6589580336539,-2.2409023277357,Hasiari,,,,,,,,2,al-kez,,,,
Amphar,0.702,Derelik,Mekashtad,-8.1506260408812,7.1942058569452,-6.0077264184929,Abha,Nikh,Salashayama,Usroh,,,,,2,am-far,,,,
Aranir,0.243,Derelik,Aguh,-8.4224358460811,6.6954736263959,-10.0539545847313,Hahyil,Sosa,,,,,,,3,a-ra-nir,,,,
Arena,0.442,Derelik,Mal,-6.8548626619899,7.0634573843748,-7.6325081413372,Dysa,Kehrara,Serad,Uhtafal,,,,,3,a-re-na,,,,
Arnola,0.463,Derelik,Joas,-5.3452237678029,4.2084870177526,-4.1304027925528,Astabih,Kasrasi,Uanzin,,,,,,3,ar-no-la,,,,
Asabona,0.323,Derelik,Anares,-8.8787078299773,5.7530354513984,-9.6309075103911,Irshah,Onsooh,,,,,,,4,a-sa-bo-na,,,,
Asghatil,0.795,Derelik,Oraron,-9.5555831489463,4.3353413865686,-6.1405745587948,Akpivem,Jarizza,Sucha,,,,,,3,as-ga-til,,,,
Asilem,0.285,Derelik,Mal,-5.9828504059703,6.6629552609131,-8.5659028328458,Dysa,Shach,,,,,,,3,a-si-lem,,,,
Assah,0.298,Derelik,Bedaleya,-11.5655018402866,7.4112145986632,-10.318839407144,G-5EN2,Gomati,Hasateem,Nakah,,,,,2,a-sa,,,,
Astabih,0.409,Derelik,Joas,-5.1508681259512,3.753061712897,-3.7584959768268,Arnola,Bimener,Kenobanala,Khabi,Ubtes,,,,3,as-ta-bih,,,,
Bairshir,0.364,Derelik,Sazdih,-5.9500536638629,3.060200021502,-7.0450499247602,Bayuka,Moh,,,,,,,2,bair-sher,,,,
Bar,0.666,Derelik,Oraron,-9.8443107172811,5.415422368894,-7.4272136309517,Gamis,Gomati,Irshah,Jarizza,Sucha,,,,1,bar,,,,
Bayuka,0.401,Derelik,Sazdih,-5.9779356765874,3.912311895129,-7.3224273778575,Bairshir,Dooz,Uzistoon,,,,,,3,ba-yu-ka,,,,
Bekirdod,0.405,Derelik,Subi,-10.667189657529,4.6086783476644,-8.8535511544047,Berta,Gamis,,,,,,,3,be-kir-dod,,,,
Berta,0.49,Derelik,Subi,-8.5372244434263,3.3497559002337,-7.8714012881178,Bekirdod,Hothomouh,Juddi,Shedoo,,,,,2,ber-ta,,,,
Bimener,0.27,Derelik,Joas,-4.6389524007615,2.6277481162421,-3.9367828335375,Astabih,Kenobanala,Khabi,Ubtes,,,,,3,bi-me-ner,,,,
Buftiar,0.709,Derelik,Orshed,-11.2289887271664,6.5924024970737,-5.7819372548906,Yadi,,,,,,,,3,buf-ti-ar,2,buf-tyar,,
Camal,0.213,Derelik,Ananah,-8.9393067632056,4.032344348405,-10.3505841227187,Jaymass,,,,,,,,2,ca-mal,,,,
Chidah,0.539,Derelik,Anares,-8.0588856520121,6.1645557287377,-7.9770931668462,Onsooh,Shenela,Sooma,,,,,,2,chi-da,,,,
Dooz,0.424,Derelik,Sazdih,-6.2127277592378,4.8759951230412,-7.7061875158752,Bayuka,Sari,Shenela,Uzistoon,,,,,1,duz,,,,
Dysa,0.236,Derelik,Mal,-6.1365930431328,7.1685882544268,-8.9973109429664,Arena,Asilem,Kehrara,Mahti,,,,,2,dy-sa,,,,
Ejahi,0.729,Derelik,Oraron,-10.6306688887847,5.9731533376765,-6.5513066698409,Gelhan,Jarizza,,,,,,,3,e-ja-hi,,,,
Eshtah,0.768,Derelik,Kalangin,-7.1223584228662,5.0752785941189,-4.6482687207261,Kiereend,Ordize,Psasa,Rashy,Zet,,,,2,esh-ta,,,,
Eshwil,0.219,Derelik,Aguh,-8.8681978645793,8.2300286639161,-9.7642794568668,Sosa,,,,,,,,2,esh-wil,,,,
Faspera,0.128,Derelik,Ananah,-8.7275787061838,2.4422502349263,-10.7306739389601,Jaymass,Mifrata,,,,,,,3,fas-pe-ra,,,,
Fera,0.477,Derelik,Ananah,-7.4299224152639,3.9382745820237,-7.8999332766387,Majamar,,,,,,,,2,fe-ra,,,,
Fovihi,0.869,Derelik,Kalangin,-8.1553344112251,5.0451257411607,-5.1154633880984,Kasrasi,Kiereend,Zaid,,,,,,3,fo-vi-hi,,,,
Futzchag,0.172,Derelik,Mamouna,-6.4098583968529,4.1271973465565,-10.1139230377519,Jayneleb,Kazna,Kuharah,Lilmad,,,,,2,fats-chag,,,,
Gamis,0.474,Derelik,Subi,-10.2362648910611,4.0596126609599,-8.2548921662378,Bar,Bekirdod,Hothomouh,Nieril,Shedoo,,,,2,ga-mis,,,,
Gelhan,0.702,Derelik,Oraron,-10.1293245585079,6.2616846009738,-6.9804856608659,Akeva,Ejahi,,,,,,,2,gel-han,,,,
Gomati,0.387,Derelik,Bedaleya,-10.2466093278155,6.1739122987127,-9.280534132106,Assah,Bar,Hasateem,Irshah,,,,,3,go-ma-ti,,,,
Hahyil,0.208,Derelik,Aguh,-8.895816134968,6.8462213202649,-10.4268722287202,Aranir,,,,,,,,2,hah-yil,,,,
Hasateem,0.426,Derelik,Bedaleya,-10.9124883950156,6.8647473524097,-9.1822983992111,Assah,Gomati,Jangar,Nakah,,,,,3,ha-sa-tim,,,,
Hasiari,0.798,Derelik,Hevaka,-8.7895710227609,3.9062466382135,-2.6800575462533,Alkez,Radima,Sasta,,,,,,4,ha-si-a-ri,,,,
Hothomouh,0.423,Derelik,Subi,-10.1697231116601,3.1692620381826,-8.1341099605774,Berta,Gamis,Nieril,,,,,,3,hoth-o-mouh,,,,
Ibaria,0.731,Derelik,Mossas,-8.5000827583159,4.3133101361465,-6.6861168763407,Juddi,Maspah,,,,,,,4,i-ba-ri-a,3,i-ba-ria,,
Ihal,0.493,Derelik,Ananah,-8.4811359818445,4.7168756430762,-8.4060080477226,Jaymass,Mifrata,Shedoo,,,,,,2,i-hal,,,,
